andyface_resize_frame00478.jpg:anger,nortonface_norton_frame03868.jpg:fear,face_bogs_frame13078.jpg:surprise,face_red_frame01905.jpg:fear,,,,,,
andyface_resize_frame00479.jpg:anger,nortonface_norton_frame03869.jpg:fear,face_bogs_frame13079.jpg:fear,face_red_frame01906.jpg:anger,,,,,,
andyface_resize_frame00480.jpg:anger,nortonface_norton_frame03870.jpg:fear,face_bogs_frame13080.jpg:disgust,face_red_frame01907.jpg:anger,,,,,,
andyface_resize_frame00481.jpg:disgust,nortonface_norton_frame03871.jpg:fear,face_bogs_frame13081.jpg:disgust,face_red_frame01908.jpg:fear,,,,,,
andyface_resize_frame00482.jpg:anger,nortonface_norton_frame03872.jpg:fear,face_bogs_frame13082.jpg:disgust,face_red_frame01909.jpg:anger,,,,,,
andyface_resize_frame00483.jpg:disgust,nortonface_norton_frame03873.jpg:fear,face_bogs_frame13083.jpg:anger,face_red_frame01910.jpg:disgust,,,,,,
andyface_resize_frame00484.jpg:anger,nortonface_norton_frame03874.jpg:disgust,face_bogs_frame13084.jpg:disgust,face_red_frame01911.jpg:anger,,,,,,
andyface_resize_frame00485.jpg:disgust,nortonface_norton_frame03875.jpg:fear,face_bogs_frame13163.jpg:anger,face_red_frame01912.jpg:anger,,,,,,
andyface_resize_frame00486.jpg:disgust,nortonface_norton_frame03876.jpg:fear,face_bogs_frame13164.jpg:fear,face_red_frame01913.jpg:fear,,,,,,
andyface_resize_frame00487.jpg:disgust,nortonface_norton_frame03877.jpg:fear,face_bogs_frame13165.jpg:surprise,face_red_frame01914.jpg:anger,,,,,,
andyface_resize_frame00488.jpg:disgust,nortonface_norton_frame03878.jpg:fear,face_bogs_frame13166.jpg:surprise,face_red_frame01915.jpg:fear,,,,,,
andyface_resize_frame00489.jpg:fear,nortonface_norton_frame03879.jpg:fear,face_bogs_frame13167.jpg:fear,face_red_frame01916.jpg:anger,,,,,,
andyface_resize_frame00490.jpg:anger,nortonface_norton_frame03880.jpg:disgust,face_bogs_frame13168.jpg:surprise,face_red_frame01917.jpg:fear,,,,,,
andyface_resize_frame00491.jpg:anger,nortonface_norton_frame03881.jpg:fear,face_bogs_frame13169.jpg:surprise,face_red_frame01918.jpg:anger,,,,,,
andyface_resize_frame00492.jpg:anger,nortonface_norton_frame03882.jpg:fear,face_bogs_frame13170.jpg:fear,face_red_frame01919.jpg:anger,,,,,,
andyface_resize_frame00493.jpg:disgust,nortonface_norton_frame03883.jpg:fear,face_bogs_frame13171.jpg:fear,face_red_frame01920.jpg:anger,,,,,,
andyface_resize_frame00494.jpg:anger,nortonface_norton_frame03884.jpg:fear,face_bogs_frame13172.jpg:anger,face_red_frame01921.jpg:anger,,,,,,
andyface_resize_frame00495.jpg:disgust,nortonface_norton_frame03885.jpg:fear,face_bogs_frame13201.jpg:fear,face_red_frame01922.jpg:surprise,,,,,,
andyface_resize_frame00496.jpg:anger,nortonface_norton_frame03886.jpg:fear,face_bogs_frame13224.jpg:anger,face_red_frame01923.jpg:fear,,,,,,
andyface_resize_frame00497.jpg:anger,nortonface_norton_frame03887.jpg:happy,face_bogs_frame13258.jpg:fear,face_red_frame01924.jpg:anger,,,,,,
andyface_resize_frame00498.jpg:anger,nortonface_norton_frame03888.jpg:fear,face_bogs_frame13259.jpg:fear,face_red_frame01925.jpg:fear,,,,,,
andyface_resize_frame00499.jpg:anger,nortonface_norton_frame03889.jpg:fear,face_bogs_frame13260.jpg:fear,face_red_frame01926.jpg:anger,,,,,,
andyface_resize_frame00500.jpg:disgust,nortonface_norton_frame03890.jpg:fear,face_bogs_frame13261.jpg:fear,face_red_frame01927.jpg:anger,,,,,,
andyface_resize_frame00501.jpg:fear,nortonface_norton_frame03891.jpg:fear,face_bogs_frame13285.jpg:fear,face_red_frame01928.jpg:fear,,,,,,
andyface_resize_frame00502.jpg:disgust,nortonface_norton_frame03892.jpg:fear,face_bogs_frame13287.jpg:fear,face_red_frame01929.jpg:anger,,,,,,
andyface_resize_frame00503.jpg:disgust,nortonface_norton_frame03893.jpg:fear,face_bogs_frame13288.jpg:fear,face_red_frame01930.jpg:anger,,,,,,
andyface_resize_frame00504.jpg:disgust,nortonface_norton_frame03894.jpg:fear,face_bogs_frame13289.jpg:anger,face_red_frame01931.jpg:anger,,,,,,
andyface_resize_frame00505.jpg:disgust,nortonface_norton_frame03895.jpg:happy,face_bogs_frame13299.jpg:anger,face_red_frame01932.jpg:anger,,,,,,
andyface_resize_frame00506.jpg:disgust,nortonface_norton_frame03896.jpg:fear,face_bogs_frame13300.jpg:fear,face_red_frame01933.jpg:fear,,,,,,
andyface_resize_frame00507.jpg:disgust,nortonface_norton_frame03897.jpg:fear,face_bogs_frame13301.jpg:fear,face_red_frame01934.jpg:anger,,,,,,
andyface_resize_frame00508.jpg:disgust,nortonface_norton_frame03898.jpg:fear,face_bogs_frame13302.jpg:anger,face_red_frame01935.jpg:anger,,,,,,
andyface_resize_frame00509.jpg:anger,nortonface_norton_frame03899.jpg:fear,face_bogs_frame13377.jpg:fear,face_red_frame01936.jpg:fear,,,,,,
andyface_resize_frame00510.jpg:anger,nortonface_norton_frame03900.jpg:fear,face_bogs_frame13378.jpg:anger,face_red_frame01937.jpg:fear,,,,,,
andyface_resize_frame00511.jpg:anger,nortonface_norton_frame03901.jpg:anger,face_bogs_frame13380.jpg:fear,face_red_frame01938.jpg:fear,,,,,,
andyface_resize_frame00512.jpg:disgust,nortonface_norton_frame03902.jpg:fear,face_bogs_frame13381.jpg:fear,face_red_frame01939.jpg:anger,,,,,,
andyface_resize_frame00513.jpg:anger,nortonface_norton_frame03903.jpg:happy,face_bogs_frame13382.jpg:fear,face_red_frame01940.jpg:anger,,,,,,
andyface_resize_frame00514.jpg:anger,nortonface_norton_frame03904.jpg:fear,,face_red_frame01941.jpg:anger,,,,,,
andyface_resize_frame00515.jpg:anger,nortonface_norton_frame03905.jpg:happy,,face_red_frame01942.jpg:fear,,,,,,
andyface_resize_frame00516.jpg:disgust,nortonface_norton_frame03906.jpg:fear,,face_red_frame02325.jpg:fear,,,,,,
andyface_resize_frame00517.jpg:anger,nortonface_norton_frame03907.jpg:fear,,face_red_frame03253.jpg:fear,,,,,,
andyface_resize_frame00518.jpg:disgust,nortonface_norton_frame03908.jpg:disgust,,face_red_frame03254.jpg:fear,,,,,,
andyface_resize_frame00519.jpg:anger,nortonface_norton_frame03909.jpg:fear,,face_red_frame03255.jpg:fear,,,,,,
andyface_resize_frame00520.jpg:anger,nortonface_norton_frame03910.jpg:fear,,face_red_frame03256.jpg:anger,,,,,,
andyface_resize_frame00521.jpg:disgust,nortonface_norton_frame03911.jpg:fear,,face_red_frame03257.jpg:anger,,,,,,
andyface_resize_frame00522.jpg:anger,nortonface_norton_frame03912.jpg:fear,,face_red_frame03258.jpg:anger,,,,,,
andyface_resize_frame00523.jpg:anger,nortonface_norton_frame03913.jpg:fear,,face_red_frame03261.jpg:anger,,,,,,
andyface_resize_frame00524.jpg:anger,nortonface_norton_frame03914.jpg:fear,,face_red_frame03262.jpg:fear,,,,,,
andyface_resize_frame00525.jpg:anger,nortonface_norton_frame03915.jpg:fear,,face_red_frame03270.jpg:anger,,,,,,
andyface_resize_frame00526.jpg:anger,nortonface_norton_frame03916.jpg:anger,,face_red_frame03271.jpg:fear,,,,,,
andyface_resize_frame00527.jpg:anger,nortonface_norton_frame03917.jpg:fear,,face_red_frame03292.jpg:fear,,,,,,
andyface_resize_frame00586.jpg:anger,nortonface_norton_frame03918.jpg:disgust,,face_red_frame03293.jpg:anger,,,,,,
andyface_resize_frame00587.jpg:anger,nortonface_norton_frame03919.jpg:disgust,,face_red_frame03294.jpg:anger,,,,,,
andyface_resize_frame00588.jpg:anger,nortonface_norton_frame03920.jpg:disgust,,face_red_frame03295.jpg:anger,,,,,,
andyface_resize_frame00589.jpg:surprise,nortonface_norton_frame03921.jpg:disgust,,face_red_frame03296.jpg:fear,,,,,,
andyface_resize_frame00590.jpg:disgust,nortonface_norton_frame03922.jpg:fear,,face_red_frame03297.jpg:anger,,,,,,
andyface_resize_frame00591.jpg:disgust,nortonface_norton_frame03923.jpg:fear,,face_red_frame03298.jpg:anger,,,,,,
andyface_resize_frame00592.jpg:surprise,nortonface_norton_frame03924.jpg:disgust,,face_red_frame03299.jpg:anger,,,,,,
andyface_resize_frame00593.jpg:anger,nortonface_norton_frame03925.jpg:anger,,face_red_frame03300.jpg:anger,,,,,,
andyface_resize_frame00594.jpg:anger,nortonface_norton_frame03926.jpg:fear,,face_red_frame03301.jpg:anger,,,,,,
andyface_resize_frame00595.jpg:anger,nortonface_norton_frame03927.jpg:fear,,face_red_frame03302.jpg:anger,,,,,,
andyface_resize_frame00596.jpg:anger,nortonface_norton_frame03928.jpg:fear,,face_red_frame03303.jpg:fear,,,,,,
andyface_resize_frame00597.jpg:anger,nortonface_norton_frame03929.jpg:fear,,face_red_frame03304.jpg:fear,,,,,,
andyface_resize_frame00598.jpg:anger,nortonface_norton_frame03931.jpg:disgust,,face_red_frame03305.jpg:fear,,,,,,
andyface_resize_frame00599.jpg:anger,nortonface_norton_frame03932.jpg:fear,,face_red_frame03306.jpg:fear,,,,,,
andyface_resize_frame00600.jpg:anger,nortonface_norton_frame03933.jpg:fear,,face_red_frame03307.jpg:fear,,,,,,
andyface_resize_frame00601.jpg:anger,nortonface_norton_frame03934.jpg:fear,,face_red_frame03308.jpg:anger,,,,,,
andyface_resize_frame00602.jpg:anger,nortonface_norton_frame09620.jpg:disgust,,face_red_frame03309.jpg:anger,,,,,,
andyface_resize_frame00603.jpg:anger,nortonface_norton_frame09621.jpg:happy,,face_red_frame03310.jpg:anger,,,,,,
andyface_resize_frame00604.jpg:disgust,nortonface_norton_frame09622.jpg:disgust,,face_red_frame03311.jpg:anger,,,,,,
