frame_all		Andy_frames_unique	Andy_size	Tommy_frame	Tommy_size	Red_frames	Red_size	Norton_frames	Norton_size	Bogs_frames	Bogs_size	Skeet_frames	Skeet_size	"start scene: 0, andy mean size: 223.0"	223	"start scene: 0, tommy mean size: 0"	0	"start scene: 0, red mean size: 0"	0
frame00052.jpg		andy_frame00338.jpg	267	tommy_frame25197.jpg	223	red_frame01780.jpg	155	norton_frame03665.jpg	267	bogs_frame06919.jpg	223	skeet_frame03390.jpg	155	"start scene: 14235, andy mean size: 284.97196261682245"	284.9719626	"start scene: 14235, tommy mean size: 0"	0	"start scene: 14235, red mean size: 0"	0
frame00053.jpg		andy_frame00339.jpg	268	tommy_frame25198.jpg	223	red_frame01781.jpg	129	norton_frame03666.jpg	267	bogs_frame06920.jpg	223	skeet_frame03391.jpg	155	"start scene: 15067, andy mean size: 215.05263157894737"	215.0526316	"start scene: 15067, tommy mean size: 0"	0	"start scene: 15067, red mean size: 0"	0
frame00054.jpg		andy_frame00340.jpg	267	tommy_frame25200.jpg	186	red_frame01782.jpg	186	norton_frame03667.jpg	267	bogs_frame06921.jpg	223	skeet_frame03392.jpg	154	"start scene: 15251, andy mean size: 305.0625"	305.0625	"start scene: 15251, tommy mean size: 0"	0	"start scene: 15251, red mean size: 0"	0
frame00055.jpg		andy_frame00341.jpg	267	tommy_frame25201.jpg	223	red_frame01783.jpg	186	norton_frame03668.jpg	267	bogs_frame06922.jpg	222	skeet_frame03393.jpg	154	"start scene: 15640, andy mean size: 324.0833333333333"	324.0833333	"start scene: 15640, tommy mean size: 0"	0	"start scene: 15640, red mean size: 0"	0
frame00056.jpg		andy_frame00342.jpg	268	tommy_frame25202.jpg	223	red_frame01784.jpg	186	norton_frame03669.jpg	267	bogs_frame06923.jpg	267	skeet_frame03394.jpg	154	"start scene: 15965, andy mean size: 287.1940298507463"	287.1940299	"start scene: 15965, tommy mean size: 0"	0	"start scene: 15965, red mean size: 285.0"	285
frame00057.jpg		andy_frame00343.jpg	268	tommy_frame25203.jpg	223	red_frame01785.jpg	186	norton_frame03670.jpg	267	bogs_frame06928.jpg	222	skeet_frame03395.jpg	129	"start scene: 16337, andy mean size: 391.0"	391	"start scene: 16337, tommy mean size: 0"	0	"start scene: 16337, red mean size: 0"	0
frame00058.jpg		andy_frame00344.jpg	268	tommy_frame25204.jpg	185	red_frame01786.jpg	154	norton_frame03671.jpg	267	bogs_frame06929.jpg	222	skeet_frame03396.jpg	155	"start scene: 16474, andy mean size: 0"	0	"start scene: 16474, tommy mean size: 0"	0	"start scene: 16474, red mean size: 0"	0
frame00059.jpg		andy_frame00345.jpg	321	tommy_frame25205.jpg	185	red_frame01787.jpg	155	norton_frame03672.jpg	223	bogs_frame06930.jpg	186	skeet_frame03397.jpg	155	"start scene: 16500, andy mean size: 188.52"	188.52	"start scene: 16500, tommy mean size: 0"	0	"start scene: 16500, red mean size: 0"	0
frame00060.jpg		andy_frame00346.jpg	155	tommy_frame25206.jpg	185	red_frame01788.jpg	155	norton_frame03673.jpg	267	bogs_frame06932.jpg	185	skeet_frame03398.jpg	155	"start scene: 16541, andy mean size: 0"	0	"start scene: 16541, tommy mean size: 0"	0	"start scene: 16541, red mean size: 0"	0
frame00061.jpg		andy_frame00347.jpg	186	tommy_frame25207.jpg	223	red_frame01789.jpg	155	norton_frame03674.jpg	267	bogs_frame06933.jpg	223	skeet_frame03399.jpg	155	"start scene: 16608, andy mean size: 0"	0	"start scene: 16608, tommy mean size: 0"	0	"start scene: 16608, red mean size: 0"	0
frame00062.jpg		andy_frame00348.jpg	223	tommy_frame25208.jpg	186	red_frame01790.jpg	154	norton_frame03675.jpg	223	bogs_frame06934.jpg	223	skeet_frame03400.jpg	155	"start scene: 16641, andy mean size: 186.0"	186	"start scene: 16641, tommy mean size: 0"	0	"start scene: 16641, red mean size: 223.0"	223
frame00063.jpg		andy_frame00349.jpg	223	tommy_frame25209.jpg	186	red_frame01791.jpg	155	norton_frame03676.jpg	267	bogs_frame06935.jpg	223	skeet_frame03401.jpg	155	"start scene: 16830, andy mean size: 185.8"	185.8	"start scene: 16830, tommy mean size: 0"	0	"start scene: 16830, red mean size: 0"	0
frame00064.jpg		andy_frame00350.jpg	223	tommy_frame25210.jpg	186	red_frame01792.jpg	155	norton_frame03677.jpg	267	bogs_frame06936.jpg	223	skeet_frame03402.jpg	129	"start scene: 16885, andy mean size: 0"	0	"start scene: 16885, tommy mean size: 0"	0	"start scene: 16885, red mean size: 0"	0
frame00065.jpg		andy_frame00351.jpg	223	tommy_frame25211.jpg	186	red_frame01793.jpg	155	norton_frame03678.jpg	223	bogs_frame06937.jpg	186	skeet_frame03403.jpg	155	"start scene: 16890, andy mean size: 182.54"	182.54	"start scene: 16890, tommy mean size: 0"	0	"start scene: 16890, red mean size: 263.55172413793105"	263.5517241
frame00066.jpg		andy_frame00352.jpg	223	tommy_frame25212.jpg	186	red_frame01794.jpg	155	norton_frame03679.jpg	223	bogs_frame06938.jpg	223	skeet_frame03404.jpg	155	"start scene: 17323, andy mean size: 0"	0	"start scene: 17323, tommy mean size: 0"	0	"start scene: 17323, red mean size: 193.41379310344828"	193.4137931
frame00067.jpg		andy_frame00353.jpg	223	tommy_frame25213.jpg	186	red_frame01795.jpg	154	norton_frame03680.jpg	223	bogs_frame06939.jpg	186	skeet_frame06283.jpg	129	"start scene: 17797, andy mean size: 0"	0	"start scene: 17797, tommy mean size: 0"	0	"start scene: 17797, red mean size: 0"	0
frame00068.jpg		andy_frame00354.jpg	223	tommy_frame25214.jpg	186	red_frame01811.jpg	186	norton_frame03681.jpg	223	bogs_frame06940.jpg	185	skeet_frame06284.jpg	129	"start scene: 17966, andy mean size: 0"	0	"start scene: 17966, tommy mean size: 0"	0	"start scene: 17966, red mean size: 0"	0
frame00069.jpg		andy_frame00355.jpg	223	tommy_frame25215.jpg	186	red_frame01812.jpg	155	norton_frame03682.jpg	223	bogs_frame06941.jpg	186	skeet_frame06287.jpg	129	"start scene: 18092, andy mean size: 0"	0	"start scene: 18092, tommy mean size: 0"	0	"start scene: 18092, red mean size: 0"	0
frame00070.jpg		andy_frame00356.jpg	223	tommy_frame25235.jpg	223	red_frame01813.jpg	186	norton_frame03683.jpg	223	bogs_frame06942.jpg	223	skeet_frame06288.jpg	129	"start scene: 18141, andy mean size: 0"	0	"start scene: 18141, tommy mean size: 0"	0	"start scene: 18141, red mean size: 0"	0
frame00071.jpg		andy_frame00357.jpg	223	tommy_frame25236.jpg	223	red_frame01814.jpg	155	norton_frame03684.jpg	223	bogs_frame06943.jpg	223	skeet_frame06289.jpg	155	"start scene: 18318, andy mean size: 0"	0	"start scene: 18318, tommy mean size: 0"	0	"start scene: 18318, red mean size: 0"	0
frame00072.jpg		andy_frame00358.jpg	223	tommy_frame25237.jpg	223	red_frame01815.jpg	155	norton_frame03685.jpg	223	bogs_frame06944.jpg	223			"start scene: 18415, andy mean size: 0"	0	"start scene: 18415, tommy mean size: 0"	0	"start scene: 18415, red mean size: 0"	0
frame00073.jpg		andy_frame00359.jpg	223	tommy_frame25239.jpg	186	red_frame01816.jpg	155	norton_frame03686.jpg	223	bogs_frame06945.jpg	223	skeet_frame09709.jpg	63	"start scene: 18538, andy mean size: 0"	0	"start scene: 18538, tommy mean size: 0"	0	"start scene: 18538, red mean size: 0"	0
frame00074.jpg		andy_frame00360.jpg	223	tommy_frame25240.jpg	186	red_frame01817.jpg	155	norton_frame03687.jpg	223	bogs_frame06946.jpg	223	skeet_frame09710.jpg	63	"start scene: 18653, andy mean size: 0"	0	"start scene: 18653, tommy mean size: 0"	0	"start scene: 18653, red mean size: 0"	0
